altmetric_id,mendeley_readers,citeulikereaders,blog_users,blogs_posts_count,news_unique_users,total_posts_count,wiki_posts_count,facebook_users,facebook_posts,twitter_users,twitter_posts,other_articles,mean,rank,perc,scored_higher_than,sample_size,users_lecturer,users_student_pg,users_student_phd,users_student_doct,users_researcher,users_other,users_prof_assoc,users_prof,users_medi,users_ss,users_psych,users_earth,users_agri,users_arts,users_id,users_au,altmetric_score,altmetric_score_1y,altmetric_score_6m,altmetric_score_3m,altmetric_score_1m
116021,1590,12,6,6,2,16,7,0,0,0,0,5181074,6.119711512,87977,98,5093144,5181074,11,337,92,299,64,63,61,11,11,4,28,1232,4,58,9,25,55.584,0,0,0,0
116023,1929,14,1,1,0,7,4,0,0,0,0,5012032,5.935923734,538963,89,4473068,5012032,13,616,87,451,36,99,51,22,9,1,8,1462,1,84,4,22,9.128,0,0,0,0
116118,965,6,6,6,7,26,5,0,0,5,5,5187054,6.124128646,37747,99,5149317,5187054,4,292,56,181,25,53,28,167,1,1,0,478,0,44,2,12,108.942,8.88,8.88,3,0
116120,587,6,15,15,0,37,9,2,2,8,9,5131029,6.071121341,39458,99,5091612,5131029,8,96,26,123,22,50,60,6,9,1,93,438,2,30,2,7,103.532,0.75,0.5,0.5,0
116131,1015,9,4,4,1,22,3,0,0,5,5,5154018,6.0935549,98771,98,5055265,5154018,8,266,37,286,36,61,45,7,19,1,269,287,2,50,9,21,49.544,1,0,0,0
116216,565,15,4,5,4,29,3,1,1,11,11,5181074,6.119711512,47702,99,5133388,5181074,13,151,33,116,21,64,32,28,90,199,4,55,7,27,6,12,91.476,15.6,3.35,1.35,0
116404,1299,16,19,22,3,33,3,1,1,4,4,5085521,6.024358096,20813,99,5064838,5085521,24,373,54,274,42,97,53,10,100,13,159,213,13,94,6,25,160.702,17.488,17.488,0,0
116423,1800,51,13,19,0,67,4,5,5,32,35,5180928,6.119831603,34810,99,5146263,5180928,20,568,73,469,62,150,87,315,19,382,4,468,11,125,3,51,115.248,20.68,10.78,5.08,5.08
116426,439,15,5,6,1,17,2,2,2,5,5,5180722,6.109528412,90819,98,5089109,5180722,7,122,30,107,14,27,30,17,37,206,3,80,7,33,2,7,53.988,3,3,2,2
116465,113,0,2,2,0,3,1,0,0,0,0,3628651,4.939787019,146983,95,3481672,3628651,3,29,4,19,5,11,10,7,23,2,11,48,15,3,1,1,18.104,0,0,0,0
116476,732,12,1,1,0,8,0,0,0,2,3,5037615,5.96490937,354647,92,4682878,5037615,7,171,45,203,35,40,26,4,36,1,27,302,2,29,7,17,13.402,0,0,0,0
116480,114,1,3,5,1,11,3,0,0,1,1,4681163,5.698796693,110320,97,4571178,4681163,1,24,3,28,11,7,10,3,23,1,34,25,23,3,0,5,37.208,0,0,0,0
116485,1220,14,1,1,1,12,1,4,4,3,4,5180234,6.109709633,208858,95,4971657,5180234,22,295,68,258,52,77,60,8,39,9,48,628,5,25,5,27,23.652,7.5,7,7,0
116495,718,4,8,10,4,23,0,0,0,9,9,5128650,6.068704596,52389,98,5076264,5128650,4,187,31,141,33,44,20,1,54,1,26,278,7,39,3,27,83.47,8.008,8.008,0,0
116555,328,2,6,7,4,115,2,12,12,84,84,5180664,6.119978228,21831,99,5159097,5180664,6,99,14,54,20,24,18,17,38,121,8,39,5,31,1,16,160.972,66,35.95,9.5,0
116805,753,2,2,3,0,5,1,1,1,0,0,4707237,5.440110672,186993,96,4520016,4707237,20,218,53,161,17,68,46,97,26,395,2,127,6,32,3,15,21.25,0,0,0,0
116815,1429,7,6,7,2,21,3,0,0,7,7,5036026,5.965649021,62393,98,4972786,5036026,18,416,67,276,35,116,72,91,94,701,3,201,11,84,2,21,70.224,16.58,1,0,0
116819,273,57,5,5,0,20,4,0,0,8,8,5168499,6.10224703,111110,97,5057472,5168499,3,90,5,69,8,14,5,42,3,2,1,186,3,13,1,12,44.582,4.55,0,0,0
116898,584,6,8,8,1,23,1,0,0,5,5,5039753,5.964443859,60531,98,4979266,5039753,6,124,24,182,33,47,35,11,46,1,104,192,3,24,3,9,71.852,7,0,0,0
117068,117,3,3,4,3,8,1,0,0,0,0,4409947,4.83069835,59246,98,4350780,4409947,1,39,3,21,6,9,11,3,28,3,7,53,13,10,1,0,49.408,0,0,0,0
117446,122,3,2,2,1,10,0,1,2,4,4,4785233,5.727089841,127816,97,4657483,4785233,2,15,6,26,13,10,11,39,1,10,0,48,1,7,2,1,33.212,0.85,0,0,0
117696,952,16,13,16,1,27,1,0,0,8,8,5181137,6.119982068,34713,99,5146428,5181137,10,271,43,223,28,86,51,115,36,507,0,163,6,54,4,18,115.512,15.58,10.58,5.08,0
117729,295,7,11,14,2,130,1,1,1,106,112,5180928,6.119831603,22040,99,5159034,5180928,5,77,17,58,12,30,21,24,66,38,5,73,9,27,1,7,160.046,16.5,14,8,0
117994,65,3,4,4,1,8,1,0,0,2,2,5040723,5.964965825,129063,97,4911776,5040723,1,12,1,20,7,8,5,1,12,4,4,22,1,11,1,2,36.404,0,0,0,0
118213,790,26,2,2,1,9,3,0,0,3,3,5187004,6.12413708,161118,96,5025910,5187004,11,218,34,238,35,70,38,96,2,2,1,541,2,30,1,23,30.998,10,0,0,0
118236,298,42,10,10,1,26,1,0,0,12,12,5179062,6.117715767,53420,98,5125700,5179062,5,72,7,105,22,17,15,37,9,4,1,159,0,28,1,9,83.664,7.5,7.5,7.5,2.5
118373,2440,46,1,1,0,4,0,0,0,3,3,4763199,5.498623694,312587,93,4449635,4763199,21,713,103,588,61,153,72,140,15,3,10,1940,7,83,10,51,13.35,0,0,0,0
118435,849,25,28,39,2,164,5,5,5,67,103,5187054,6.124128646,11271,99,5175789,5187054,9,289,31,199,29,67,36,17,8,3,19,685,3,67,5,16,250.79,64.596,43.166,13.25,9
118479,564,7,4,4,1,10,2,0,0,3,3,4793454,5.738469969,113112,97,4680366,4793454,3,177,28,108,23,33,24,10,2,2,2,23,3,25,2,3,37.632,0,0,0,0
118730,831,23,10,11,3,76,17,2,2,40,41,5190587,6.126011942,32622,99,5158012,5190587,8,204,40,215,32,72,46,65,11,13,8,656,7,33,3,13,120.798,38.286,8.528,3,3
118737,275,7,2,4,2,13,1,1,2,4,4,5033220,5.965549805,130911,97,4902043,5033220,5,34,12,72,14,39,43,17,31,6,10,138,1,6,2,1,35.932,0,0,0,0
118750,606,10,3,4,0,12,4,0,0,4,4,4864355,5.79177043,193136,96,4671275,4864355,6,155,22,161,10,51,45,2,8,1,79,400,3,29,2,15,22.762,0,0,0,0
118842,617,19,14,20,11,96,3,2,2,46,52,5174174,6.105791669,11801,99,5162479,5174174,8,162,30,109,36,33,28,23,50,15,18,69,10,41,1,25,242.012,63.882,56.832,10,0
118872,1520,22,25,30,5,92,4,12,13,25,30,5186943,6.124126568,12529,99,5174466,5186943,10,375,61,306,60,57,54,5,34,5,95,930,2,53,6,24,234.194,46.432,15.45,8.1,1.85
119068,621,18,9,11,1,41,5,2,2,3,15,5181074,6.119711512,71435,98,5109652,5181074,6,177,29,143,26,67,33,98,9,63,0,389,2,37,5,11,66.336,4.25,4.25,4.25,1
119344,450,10,7,7,5,23,7,0,0,4,4,5060128,5.99446353,43352,99,5016812,5060128,7,80,9,123,26,23,30,14,12,20,5,318,8,15,2,5,94.088,3,3,3,0
119500,739,15,4,4,1,18,1,1,1,11,11,5181074,6.119711512,100105,98,5081009,5181074,10,216,38,167,18,68,65,93,24,290,0,254,5,37,3,9,49.364,13.25,1.25,0,0
119503,1042,8,9,10,1,18,1,0,0,3,3,5099368,6.04317049,59429,98,5039973,5099368,11,239,39,257,38,69,61,131,47,9,19,641,17,55,4,27,74.918,13.08,0,0,0
119515,190,1,1,1,0,5,2,1,1,1,1,3627536,4.948038031,245725,93,3381878,3627536,4,54,14,40,6,12,4,26,7,106,1,29,5,7,1,3,11.746,0,0,0,0
